,COORD.COOR2,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1
0,-1.05718e-10,7.606369999999999e-26,0.0,2.58494e-26,2.15868e-22,2.15995e-22,-1.9036199999999998e-26,9.50765e-26,3.0814899999999986e-33,2.58494e-26,0.0,1.03398e-25,8.642360000000001e-22,-1.5407399999999998e-33,-5.16988e-26,-3.93472e-21,-6.1982999999999996e-27,-3.93472e-21,1.29247e-26,-2.58494e-26,-1.5407399999999998e-33,0.0,6.71826e-22,-2.30328e-21,6.3361999999999985e-21,0.0,0.0,1.1834e-13,3.97285e-13,2.53586e-14,5.6645299999999996e-21,3.38115e-14,8.45288e-15,-1.32349e-23,8.45288e-15,7.60759e-14,1.26793e-14,-1.69058e-13,-2.81692e-12,-1.2449000000000002e-11,-4.7811599999999996e-14,-6.19258e-11,2.4302e-14,1.05661e-15,-3.87703e-11,-1.5025e-12,-6.867970000000002e-14,-9.33779e-14,-5.59792e-12,-4.76848e-12,-7.12684e-13,-1.2721600000000001e-12,-1.41586e-13,-1.31548e-12,-7.723819999999999e-13,5.49437e-14,-3.09217e-12,-1.69058e-14,1.69058e-14,6.84683e-13,1.35246e-13,8.621940000000001e-13,-6.762310000000002e-14,-8.791e-13,2.58494e-26,1.85963e-13,-2.45662e-14,1.69058e-14,-9.85606e-12,-4.2264399999999994e-13,-2.36681e-13,-5.24079e-13,2.2146599999999998e-12,-1.69058e-14,3.38115e-14,-1.85963e-12,3.2121e-13,3.71927e-13,4.22644e-12,1.31865e-12,6.931359999999999e-13,5.07173e-14,5.07173e-14,1.92816e-21
1,-0.2,3.80856e-26,5.28305e-16,1.05661e-15,1.07934e-22,-1.05661e-15,-9.51809e-27,-2.1132300000000002e-15,2.1132100000000007e-15,2.1132100000000007e-15,1.29247e-26,-8.45285e-15,-4.2264299999999995e-15,-2.58494e-26,4.2264299999999995e-15,8.45288e-15,3.363199999999999e-27,-1.96741e-21,3.23117e-26,-1.29249e-26,-7.70372e-34,4.2264299999999995e-15,-8.45285e-15,4.226420000000001e-15,1.56378e-12,8.45381e-15,1.29247e-26,1.94416e-13,8.0725e-13,6.1325699999999996e-12,1.69058e-14,-2.64575e-12,-1.0862e-12,-9.9744e-12,-3.99821e-12,1.20876e-12,-9.55176e-13,-3.63474e-13,-1.16026e-11,-1.91416e-11,1.63127e-12,-7.41693e-11,4.52916e-12,2.1969000000000004e-11,-9.98075e-11,3.71398e-13,-1.7846099999999998e-12,7.64709e-12,2.77043e-11,-1.7979e-11,-1.32935e-12,-4.76954e-12,6.33966e-15,-1.33762e-11,-2.15739e-11,7.840050000000002e-13,5.00146e-12,6.55521e-12,9.086850000000001e-13,1.36937e-12,-5.03623e-11,1.76665e-12,-1.52151e-13,-1.17918e-11,1.52152e-13,-8.452879999999999e-13,-9.53591e-13,-2.6203900000000003e-12,-1.62972e-11,-1.8342799999999997e-12,-2.19775e-13,-1.0397e-12,3.9770800000000015e-12,2.36681e-13,7.354e-13,-5.5789e-13,-1.10733e-11,7.94571e-13,2.64575e-12,-7.43008e-12,1.89767e-11,-4.15882e-12,4.7082599999999996e-12,7.18495e-14
2,-0.4,-1.97683e-25,5.28305e-16,0.0,-1.05661e-15,-8.15269e-21,2.1132300000000002e-15,-5.0822e-21,2.1132100000000007e-15,2.1132100000000007e-15,2.1132100000000007e-15,-1.47925e-14,0.0,-2.58494e-26,0.0,8.45288e-15,4.22645e-15,-4.2264299999999995e-15,4.22645e-15,-1.26793e-14,-4.2264299999999995e-15,0.0,-1.6905700000000005e-14,4.2264299999999995e-15,2.6119400000000007e-12,8.45381e-15,1.9387e-26,2.70492e-13,1.6018200000000001e-12,1.37866e-11,5.91701e-14,-1.12592e-11,-1.05661e-12,-2.56503e-11,-7.45967e-12,4.72939e-12,-4.0637199999999996e-12,-7.35401e-13,-1.84907e-11,-2.54992e-11,9.41572e-13,-1.3685e-10,1.09449e-11,9.21501e-11,-2.4846700000000005e-10,8.15122e-12,-7.2029100000000005e-12,1.72583e-11,1.7899000000000002e-11,-5.45256e-11,-2.45635e-12,-1.44214e-11,6.329100000000001e-13,-2.21936e-11,-4.16631e-11,1.84907e-12,3.46127e-11,1.66395e-11,3.81648e-12,2.73028e-12,-7.3109e-11,3.5333e-12,-3.000760000000001e-13,-2.0008e-11,3.29663e-13,-4.31942e-12,-3.82777e-12,-3.90523e-12,-3.37862e-11,-5.7733199999999995e-12,5.91698e-14,-2.07941e-12,6.80457e-12,1.1918600000000001e-12,1.62295e-12,-2.23156e-12,-2.48515e-11,1.59759e-12,-7.370910000000001e-12,-1.05746e-11,4.19939e-11,-2.16394e-12,2.95006e-12,2.83172e-13
3,-0.6,-1.61162e-25,0.0,-2.11322e-15,-3.17637e-21,-4.9763199999999996e-21,2.1132300000000002e-15,2.11322e-15,2.1132100000000007e-15,-6.462349999999999e-27,0.0,-8.452859999999999e-15,8.45288e-15,-6.462349999999999e-27,4.2264299999999995e-15,4.2264299999999995e-15,1.26794e-14,-4.2264299999999995e-15,4.22645e-15,-2.11321e-14,-8.45285e-15,-4.2264299999999995e-15,-1.6905700000000005e-14,-4.2269e-15,1.78356e-12,6.46235e-26,5.81611e-26,2.53586e-13,2.38794e-12,6.53408e-12,1.0566099999999999e-13,-8.490919999999999e-12,1.1960799999999999e-12,-2.39343e-11,-7.0497e-12,4.79701e-12,-5.05905e-12,-1.1073299999999999e-12,-1.49331e-11,-2.1184999999999996e-11,-3.908530000000001e-12,-3.23344e-10,8.00065e-12,8.20431e-11,-4.37616e-10,2.20927e-11,-1.56362e-11,7.71583e-12,-6.80721e-11,-1.06502e-10,-3.4143e-12,-2.81259e-11,1.74869e-12,-1.69369e-11,-4.38937e-11,1.51518e-12,2.91339e-11,1.46531e-11,8.38949e-12,4.1038699999999996e-12,-2.21719e-11,5.3084e-12,-4.43776e-13,-1.58576e-11,1.18341e-13,-2.73873e-12,-4.57281e-12,-1.41163e-12,-5.54255e-11,-5.24924e-12,-7.523060000000002e-13,-3.16138e-12,1.18171e-11,2.7979e-12,8.03022e-13,-7.77665e-12,-9.60247e-12,2.3668099999999997e-12,1.06675e-11,-5.15626e-13,2.11153e-11,1.06041e-11,-1.02533e-11,6.12834e-13
4,-0.8,-2.4776900000000004e-25,4.9303800000000003e-32,-1.05661e-15,2.11322e-15,4.658680000000001e-21,-2.58494e-26,-2.1132300000000002e-15,2.1132100000000007e-15,-2.1132100000000007e-15,-6.33964e-15,-6.35275e-21,3.00697e-20,4.52364e-26,1.6905700000000005e-14,0.0,8.4529e-15,-4.22644e-15,4.2264299999999995e-15,-4.2264299999999995e-15,-4.2264299999999995e-15,4.22645e-15,-1.26793e-14,-4.226740000000001e-15,1.3059700000000001e-12,8.45285e-15,5.16988e-26,1.1411400000000004e-13,3.17406e-12,5.62117e-13,1.60605e-13,8.90089e-12,1.43699e-13,-1.07309e-11,-8.038689999999999e-12,3.5079499999999997e-13,-3.16983e-12,-1.47925e-12,-2.87504e-11,-6.33649e-12,-3.3332099999999997e-12,-5.003890000000001e-10,-1.40371e-12,-3.22932e-11,-4.91184e-10,1.28272e-11,-2.70455e-11,-1.89395e-13,-3.79503e-11,-1.08755e-10,-4.19223e-12,-2.25127e-11,3.41074e-12,-1.34575e-11,-5.38532e-11,2.19775e-13,-2.25518e-11,4.5899199999999995e-12,1.45854e-11,5.47324e-12,2.42767e-11,7.100419999999999e-12,-5.8325e-13,-1.37951e-11,-5.917e-14,5.32532e-12,-2.4594599999999997e-12,8.030239999999999e-13,-7.63211e-11,9.12911e-13,-2.90779e-12,-4.24335e-12,1.97417e-11,5.01256e-12,1.1834e-13,-1.26624e-11,3.35579e-12,3.1444700000000002e-12,6.44194e-11,7.90344e-12,3.57557e-12,9.94059e-12,-9.053039999999999e-12,1.0650600000000001e-12
5,-1.0,-8.01331e-25,-1.2924600000000002e-26,-1.29247e-26,1.05661e-15,1.05661e-15,-3.87741e-26,-4.22645e-15,5.16988e-26,-2.11322e-15,-2.1132300000000002e-15,6.33964e-15,-8.45285e-15,-4.2264600000000004e-15,4.2264600000000004e-15,-4.2264299999999995e-15,2.58494e-26,-4.22644e-15,4.2264299999999995e-15,-8.45277e-15,4.2264299999999995e-15,4.22645e-15,-4.658680000000001e-21,1.59512e-19,1.1031e-12,-6.38663e-19,-1.29247e-26,-3.2966199999999997e-13,3.93482e-12,6.5214e-12,2.4936e-13,1.1665e-11,-8.917790000000001e-13,3.423420000000001e-13,-1.26371e-12,1.2256700000000002e-12,-1.91458e-12,-1.8427299999999998e-12,-4.37077e-11,-6.14514e-11,2.7942099999999997e-12,-5.808179999999999e-10,-3.0879400000000007e-12,-3.25494e-11,-4.04452e-10,-2.08813e-11,-4.36354e-11,7.24115e-12,-6.45695e-12,-5.98401e-11,-4.6961e-12,4.01142e-12,6.07974e-12,-1.0498e-11,-2.76916e-11,7.818880000000002e-14,-1.83317e-11,-4.51806e-12,2.36596e-11,6.8341600000000004e-12,7.52476e-11,8.87553e-12,-7.10044e-13,-1.30766e-11,5.91696e-14,6.9567199999999995e-12,-7.557409999999999e-13,3.17828e-12,-9.67686e-11,1.88499e-12,-3.82915e-12,-5.29996e-12,2.4805000000000002e-11,3.0345799999999998e-12,8.28382e-13,-1.71255e-11,-6.39883e-12,3.90523e-12,8.57122e-11,1.57984e-11,2.02869e-11,-4.29829e-12,6.762310000000001e-12,1.7286099999999998e-12
6,-1.2,-3.6189199999999996e-25,-1.29247e-26,1.03398e-25,-1.05661e-15,-1.0565999999999999e-15,1.16322e-25,6.35275e-22,-2.58494e-26,-4.98484e-21,4.22641e-15,-1.26793e-14,-4.2264299999999995e-15,-8.45288e-15,-4.2264299999999995e-15,4.2264299999999995e-15,4.2264299999999995e-15,1.9387e-26,4.2264299999999995e-15,-2.9585e-14,0.0,-4.2264600000000004e-15,8.45285e-15,-2.58494e-26,1.12001e-12,-8.45349e-15,-6.46235e-26,-1.22989e-12,4.69135e-12,1.89767e-12,3.88833e-13,3.42341e-13,1.43276e-12,1.1479000000000001e-11,5.24501e-12,2.1893e-12,-1.0502700000000001e-12,-2.22311e-12,-4.3881e-11,-1.92426e-10,3.4479800000000004e-12,-7.51476e-10,2.60296e-12,8.12105e-11,-4.96646e-10,-2.643e-11,-6.8601e-11,1.07101e-12,-8.81688e-11,-7.82687e-11,-4.78354e-12,1.04842e-11,1.02396e-11,-6.92965e-12,-5.48368e-12,1.03548e-12,-1.16586e-11,-3.4741300000000003e-12,1.6948e-11,8.18662e-12,1.8173700000000002e-12,1.06506e-11,-8.706469999999999e-13,-1.32372e-11,-1.09888e-13,2.29918e-12,8.812790000000001e-13,-9.21363e-13,-1.16963e-10,-1.91035e-12,-3.61783e-12,-6.33966e-12,2.70661e-11,-3.49104e-12,3.2121e-13,-2.13013e-11,4.92803e-12,4.66599e-12,7.69635e-11,2.4133e-11,5.1055400000000005e-12,-3.99821e-12,7.26103e-12,2.74296e-12
7,-1.4,8.78879e-25,-2.4651900000000002e-32,5.16988e-26,-1.05661e-15,8.47033e-21,1.55096e-25,2.11322e-15,2.11322e-15,2.1132100000000007e-15,0.0,-3.16983e-14,1.55096e-25,-4.2264299999999995e-15,4.22644e-15,-4.22644e-15,8.45285e-15,5.81611e-26,8.45285e-15,-2.53587e-14,-4.2264299999999995e-15,-8.45288e-15,8.45277e-15,0.0,1.33978e-12,-5.16988e-26,-5.16988e-26,-2.73451e-12,5.4478800000000004e-12,-2.36258e-12,6.08607e-13,-1.09845e-11,5.02947e-13,8.67266e-12,3.40229e-12,-1.96952e-12,-4.3743599999999996e-13,-2.59081e-12,-4.60259e-11,-2.43402e-10,-1.22289e-12,-9.24015e-10,7.861189999999999e-13,9.03518e-11,-5.94908e-10,-4.3548199999999994e-12,-4.24837e-11,-4.65655e-12,-5.11738e-11,-1.00772e-10,-4.21865e-12,-1.30835e-12,1.66966e-11,-1.5616700000000004e-12,-2.80541e-11,8.74873e-13,-5.55352e-11,7.954160000000001e-12,-6.88065e-12,9.53908e-12,-7.157899999999999e-11,1.24173e-11,-1.03125e-12,-1.39811e-11,-2.87398e-13,-2.35835e-12,-9.22354e-13,-5.17316e-12,-1.36954e-10,-4.91958e-12,-3.60938e-12,-7.38782e-12,2.93526e-11,-5.31686e-12,-1.94416e-13,-2.53079e-11,1.6593e-11,5.4521099999999995e-12,7.32865e-11,3.41074e-11,-1.06337e-11,1.09127e-11,-7.51461e-12,4.30252e-12
8,-1.6,4.1359e-25,1.03398e-25,-5.16988e-26,-1.05661e-15,1.05661e-15,1.55096e-25,-2.11322e-15,2.5411e-21,0.0,-2.1132100000000007e-15,-3.38116e-14,4.2264299999999995e-15,-4.2264299999999995e-15,1.26793e-14,-1.6905700000000005e-14,8.45287e-15,4.2264299999999995e-15,8.45287e-15,-1.26793e-14,4.3944e-25,-4.2264299999999995e-15,-9.23266e-20,-2.58494e-26,1.80469e-12,-1.03398e-25,-5.16988e-26,-5.22811e-12,6.20019e-12,4.7082599999999996e-12,9.46723e-13,-8.2162e-12,-3.4656799999999996e-13,-8.6473e-12,2.20198e-12,-1.34401e-12,5.2831100000000004e-14,-2.9585099999999997e-12,-4.94071e-11,-2.19531e-10,1.1279300000000001e-13,-1.01029e-09,-8.875530000000001e-13,-3.4751900000000003e-12,-5.2759e-10,-8.365710000000001e-12,3.99039e-11,4.17605e-12,-8.86073e-12,-6.48925e-11,-2.61815e-12,-9.8484e-12,2.67787e-11,-2.10149e-11,-8.51826e-12,7.33287e-13,-4.62801e-11,1.00336e-11,-1.16608e-11,1.0900000000000001e-11,-2.06081e-11,1.41755e-11,-1.17495e-12,-1.50884e-11,-2.02869e-13,-7.35401e-13,-2.79414e-12,-3.3219800000000004e-12,-1.5680900000000002e-10,-7.57378e-12,-3.7615300000000004e-12,-8.46979e-12,3.44582e-11,-2.84017e-12,6.25514e-13,-2.92301e-11,7.81892e-12,6.2128699999999996e-12,7.24327e-11,2.07265e-11,4.38705e-12,1.24088e-11,-7.48925e-12,2.6837900000000002e-12
9,-1.8,-2.06795e-25,1.03398e-25,-5.16988e-26,3.81165e-21,1.03398e-25,2.1132100000000007e-15,-1.4823099999999999e-21,5.50571e-21,0.0,2.58494e-26,-3.8038e-14,-1.01644e-20,-4.2264299999999995e-15,2.11321e-14,-8.45285e-15,-8.452840000000003e-15,0.0,1.3976e-20,-4.2264299999999995e-15,0.0,-4.2264299999999995e-15,-8.452859999999999e-15,5.16988e-26,6.1706e-13,8.45381e-15,-1.03398e-25,-9.386930000000001e-12,6.94827e-12,7.903439999999998e-13,1.47503e-12,9.1756e-12,2.2696e-12,-1.1479000000000001e-11,1.3947299999999999e-12,4.14614e-12,5.24079e-13,-3.32621e-12,-5.35881e-11,-1.99526e-10,1.60552e-12,-1.10049e-09,5.2429e-12,2.20599e-11,-6.17733e-10,-3.86836e-11,6.62151e-11,-1.1067299999999999e-12,-7.37334e-11,-9.16343e-11,6.53249e-13,-1.63122e-11,4.24694e-11,-4.04709e-11,1.17766e-11,1.7518599999999998e-12,-3.63395e-11,3.1867400000000002e-12,1.6779e-12,1.22525e-11,2.59419e-11,1.59252e-11,-1.3144200000000002e-12,-1.64155e-11,-1.0988699999999997e-13,7.362460000000001e-12,-1.3586700000000001e-12,-2.08786e-12,-1.7663099999999997e-10,-1.01857e-11,-3.98976e-12,-9.56021e-12,4.23828e-11,-7.77665e-13,2.45133e-13,-3.30508e-11,-3.38115e-13,6.9567199999999995e-12,7.25595e-11,7.159589999999999e-12,1.84104e-11,7.69212e-13,7.32865e-12,-2.4302e-12
