,COORD.COOR2,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1,SM.SM1
0,-6.0663e-10,-2.58494e-26,0.0,1.29247e-26,2.58494e-26,4.3175e-22,4.318369999999998e-22,-4.3182e-22,-1.5407399999999998e-33,-2.58494e-26,0.0,0.0,0.0,0.0,-1.5407399999999998e-33,-3.93472e-21,-4.51266e-21,-3.928550000000001e-21,-2.30494e-21,-3.9442999999999995e-31,-5.56454e-21,0.0,1.69058e-14,1.13405e-21,-1.69058e-14,-8.27181e-25,6.762310000000002e-14,1.1834e-13,8.45288e-15,4.63221e-23,1.69058e-14,-8.27181e-25,1.85963e-13,-8.45288e-15,-9.3827e-13,-8.45288e-15,-2.17239e-12,-4.22644e-15,-1.8511799999999998e-12,-3.38115e-14,-3.69285e-13,-1.6472599999999998e-12,-7.819969999999999e-12,-3.53436e-13,-8.97907e-12,-4.5064399999999997e-13,-3.23323e-13,-7.501930000000001e-13,3.83021e-13,-7.60759e-14,-1.26793e-13,-6.67778e-13,-1.85963e-13,-3.38115e-14,-2.53586e-14,2.02869e-13,-2.53586e-13,-2.3837099999999997e-12,1.69058e-14,-4.27716e-12,-2.53586e-13,-3.04304e-13,-3.38115e-14,-3.71927e-13,-6.76231e-13,6.08608e-13,3.38115e-14,-4.2264399999999994e-13,-1.35246e-13,4.05738e-13,3.2121e-13,1.01909e-21,7.77665e-13,-6.762310000000002e-14,-1.69058e-14,1.1665e-12,6.762310000000002e-14,1.69058e-14,1.69058e-14,8.45288e-15,2.06795e-25,2.87248e-21,2.9985300000000004e-24,2.83723e-22
1,-0.2,1.16322e-25,0.0,-6.462349999999999e-27,1.29247e-26,2.15875e-22,2.15906e-22,-2.1591e-22,-7.70372e-34,0.0,-2.1132100000000007e-15,-2.1132100000000007e-15,1.29247e-26,4.2264299999999995e-15,4.2264299999999995e-15,-4.2264299999999995e-15,-2.2563400000000003e-21,-8.45285e-15,-1.1525000000000002e-21,-4.2264299999999995e-15,4.226420000000001e-15,1.29247e-26,3.47284e-20,1.09888e-13,-8.45288e-15,-7.69213e-13,-1.05661e-12,-2.9373799999999997e-12,-6.707360000000001e-12,-6.00155e-13,8.27115e-12,2.27805e-12,8.51205e-12,-1.17495e-12,-2.71338e-12,3.79957e-12,-1.17263e-11,2.52424e-11,2.60983e-12,1.6884599999999999e-12,-7.237779999999999e-13,7.61732e-11,-9.93425e-12,-7.16118e-13,-8.19623e-11,-3.62955e-11,3.21421e-12,-8.0688e-11,-1.46222e-12,1.0933e-11,3.4361e-12,1.80596e-11,1.23454e-11,5.11399e-13,5.536640000000002e-13,2.07391e-11,-3.12757e-13,-4.784330000000001e-12,4.22643e-14,-1.44629e-11,-3.98976e-12,-6.66087e-12,-1.85963e-13,-6.59325e-13,-1.0058899999999999e-12,2.53586e-13,3.38116e-13,-1.47925e-12,-1.7412900000000001e-12,8.199299999999999e-13,3.81225e-12,2.75564e-12,-5.6296199999999996e-12,1.3017399999999999e-12,-5.03792e-12,-1.65676e-12,2.85707e-12,-8.45288e-14,-1.0988700000000001e-12,-3.80379e-13,-5.91702e-14,-4.226420000000001e-15,1.9864300000000001e-13,8.030239999999999e-14
2,-0.4,7.75482e-26,5.28303e-16,0.0,2.58494e-26,1.29247e-26,-1.29247e-26,2.1132100000000007e-15,0.0,1.9387e-26,-2.1132100000000007e-15,-2.1132100000000007e-15,-4.2264299999999995e-15,4.2264299999999995e-15,4.2264299999999995e-15,0.0,4.2264299999999995e-15,-8.45285e-15,-1.26793e-14,-8.452859999999999e-15,0.0,-8.45285e-15,-3.38105e-14,2.0287e-13,6.462349999999999e-27,-3.25436e-12,-4.74207e-12,-4.66177e-12,-1.25272e-11,-2.5316400000000003e-12,9.45455e-12,4.41241e-12,1.59633e-11,-4.88577e-12,-7.35401e-12,9.88987e-12,-2.29348e-11,5.68477e-11,-2.64153e-13,7.23355e-12,-1.44492e-12,7.37445e-11,-7.40208e-12,-1.43065e-12,-1.8007299999999998e-10,-5.32804e-11,1.49032e-11,-5.55782e-11,-9.81459e-13,2.77814e-11,4.86041e-12,4.05844e-11,2.37315e-11,2.32032e-12,9.25591e-13,3.41835e-11,-1.01435e-13,-9.55176e-12,6.762280000000002e-14,-3.23407e-11,-6.4749099999999995e-12,-1.28399e-11,-6.25513e-13,-1.2679299999999998e-12,-1.31865e-12,6.25513e-13,7.18496e-13,-1.72439e-12,-6.71159e-12,1.63141e-12,6.517169999999999e-12,1.16734e-11,-7.05816e-12,5.7902199999999995e-12,-2.11068e-11,-1.21383e-11,1.17072e-11,-4.3109700000000004e-13,-4.64908e-12,-2.53582e-14,-4.078510000000001e-13,-4.22639e-15,6.12834e-13,7.60759e-14
3,-0.6,-1.8094599999999998e-25,0.0,1.05661e-15,-1.05661e-15,2.1132100000000007e-15,-5.16988e-26,2.1132100000000007e-15,1.03398e-25,5.81611e-26,-2.1132100000000007e-15,6.462349999999999e-27,-4.2264299999999995e-15,4.2264299999999995e-15,8.45287e-15,8.45285e-15,8.45288e-15,4.2264299999999995e-15,-3.803780000000001e-14,-8.45288e-15,-4.22635e-15,-8.45285e-15,-2.53576e-14,1.94417e-13,8.45281e-15,-3.86297e-12,-1.06337e-11,-2.38794e-12,-1.18974e-11,-5.562000000000001e-12,-4.46735e-12,4.54765e-12,1.56082e-11,-5.23656e-12,-1.36387e-11,9.568660000000001e-12,-2.75648e-11,2.67196e-11,-1.47693e-11,1.59844e-11,-2.1779400000000003e-12,-8.67229e-11,5.44577e-12,-2.13964e-12,-1.21566e-10,-1.86914e-11,7.55529e-12,1.59733e-10,3.61414e-12,2.43622e-11,9.12911e-13,1.47608e-11,2.37484e-11,5.24501e-12,5.91702e-13,2.25861e-11,5.66343e-13,-1.43023e-11,6.762280000000002e-14,-4.00836e-11,-4.40395e-12,-1.35922e-11,-1.24257e-12,-1.91035e-12,-1.08197e-12,1.85963e-12,3.38116e-13,-1.6903299999999995e-14,-1.4353e-11,2.4344299999999998e-12,5.38449e-12,1.18171e-11,2.31609e-12,7.10887e-12,-1.60605e-11,-2.995699999999999e-11,2.5570000000000002e-11,-1.0058899999999999e-12,-4.56455e-12,1.5215200000000002e-12,-1.21088e-12,-8.45377e-15,8.727610000000001e-13,-1.0566099999999999e-13
4,-0.8,-4.3944e-25,0.0,1.05661e-15,-1.05661e-15,2.1132100000000007e-15,-3.87741e-26,2.1132100000000007e-15,4.5045200000000015e-22,-2.1132100000000007e-15,-2.1132100000000007e-15,-2.1132100000000007e-15,-4.2264299999999995e-15,4.2264299999999995e-15,8.45287e-15,1.99053e-20,4.2264600000000004e-15,4.2264299999999995e-15,-1.6905700000000005e-14,-8.452710000000002e-15,7.975580000000001e-20,0.0,1.69127e-14,2.282280000000001e-13,4.22642e-14,-1.91035e-12,-1.86724e-11,-7.26948e-13,-1.3642999999999999e-11,-9.67855e-12,5.88321e-12,5.5789e-12,1.80976e-11,-1.12423e-12,-2.14661e-11,5.04214e-12,-3.50266e-11,1.8702e-12,-1.06253e-11,2.79051e-11,-2.90489e-12,-9.4424e-12,2.86658e-11,-2.85232e-12,-7.62371e-11,1.27864e-11,-2.4008000000000002e-11,1.27977e-10,1.62546e-12,7.39151e-12,-2.71126e-12,-7.38359e-12,2.86595e-11,9.27281e-12,3.93059e-13,1.52067e-11,1.6398599999999998e-12,-1.90528e-11,5.91709e-14,-4.11317e-11,-2.89089e-12,-1.67367e-11,-9.6363e-13,-2.58658e-12,-3.38115e-13,2.73873e-12,-8.13152e-20,-2.7049099999999996e-13,-1.33217e-11,3.1951900000000002e-12,4.91958e-12,3.55021e-13,1.12085e-11,4.09965e-12,1.61619e-11,-1.57308e-11,2.33384e-11,-1.8173700000000002e-12,2.74721e-13,1.76243e-12,-8.3895e-13,-8.45381e-15,-1.3735899999999999e-13,-3.0853e-13
5,-1.0,-3.87741e-25,5.28303e-16,1.05661e-15,1.0565999999999999e-15,-6.46235e-26,6.46235e-26,0.0,4.2264299999999995e-15,0.0,2.1132100000000007e-15,0.0,0.0,-1.03398e-25,9.34501e-22,-4.22641e-15,2.58494e-26,-4.2264299999999995e-15,5.071740000000001e-14,4.22659e-15,4.2264299999999995e-15,5.16988e-26,1.69127e-14,5.07171e-14,8.452819999999998e-14,-3.12757e-13,-1.43361e-11,6.12834e-13,-2.4428799999999998e-12,-1.57012e-11,1.73664e-11,2.5358599999999997e-12,4.894219999999999e-12,-2.66266e-12,-3.20195e-11,1.52575e-12,-2.92427e-11,2.65146e-11,-5.63807e-12,4.53613e-11,-3.6276099999999997e-12,6.85967e-11,-1.65296e-11,-3.56527e-12,-1.56257e-10,4.74966e-11,-3.37325e-11,-1.5675999999999998e-10,-6.48495e-13,-7.99795e-12,-6.667210000000001e-12,8.16971e-12,1.06506e-11,6.0734e-12,2.70492e-13,1.05407e-11,3.4403199999999996e-12,-2.37949e-11,-2.53576e-14,-4.34394e-11,-1.54688e-12,-9.00232e-12,2.7049099999999996e-13,-3.24591e-12,1.31865e-12,5.47747e-12,1.69058e-13,-2.40062e-12,-3.33044e-12,3.93904e-12,4.894219999999999e-12,2.90779e-12,2.10899e-11,2.0117900000000007e-12,2.12252e-11,3.28141e-11,4.53074e-12,-3.00077e-12,-4.944930000000002e-13,7.31175e-13,9.4461e-13,2.11321e-14,-1.87865e-12,7.10042e-13
6,-1.2,-2.32645e-25,-5.28301e-16,6.24687e-21,-7.0939e-21,-5.16989e-26,-5.16988e-26,-2.1132100000000007e-15,2.1132100000000007e-15,0.0,2.1132100000000007e-15,-2.1132100000000007e-15,4.2264299999999995e-15,4.2264299999999995e-15,9.3452e-22,4.22644e-15,4.2264299999999995e-15,0.0,7.18497e-14,-4.2264299999999995e-15,4.2264299999999995e-15,5.16988e-26,-2.53589e-14,-1.09888e-13,1.43698e-13,1.20876e-12,3.1867400000000002e-12,1.8385e-12,8.25001e-12,-1.11113e-11,7.07506e-12,4.2263800000000014e-15,-7.70058e-12,-4.69558e-12,-4.70361e-11,-1.65677e-12,-2.48937e-11,7.364569999999999e-12,-1.74573e-11,3.03279e-11,-4.3527099999999995e-12,-8.96898e-11,-1.36086e-10,-4.2872e-12,-1.24853e-10,-4.58265e-12,-2.34076e-11,-1.91432e-10,3.04449e-12,-6.37638e-12,-1.55956e-12,-1.14431e-11,-4.90267e-12,-4.9238e-12,1.9019000000000002e-13,7.658310000000001e-12,6.390380000000001e-12,-2.84609e-11,-9.29814e-14,-4.57554e-11,0.0,-2.40062e-12,5.07172e-13,-3.85451e-12,4.6068199999999995e-12,8.13167e-12,3.4656799999999996e-13,-4.12501e-12,-5.02101e-12,4.640630000000001e-12,5.1478e-12,6.07762e-12,1.37106e-11,4.564560000000002e-13,4.22644e-14,4.61443e-11,7.51461e-12,-4.80124e-12,-1.35669e-12,-1.69058e-13,1.33978e-12,1.6905900000000004e-14,-1.8385e-12,1.62295e-12
7,-1.4,-3.6189199999999996e-25,-5.28301e-16,-1.05661e-15,-1.05661e-15,-9.860760000000001e-32,2.11322e-15,1.16322e-25,-2.1132100000000007e-15,0.0,2.1132100000000007e-15,-2.1131999999999997e-15,0.0,4.2264299999999995e-15,6.46235e-26,4.22644e-15,8.45287e-15,4.2264299999999995e-15,5.49438e-14,-1.6905700000000005e-14,-2.06795e-25,-8.45285e-15,-4.226459999999999e-14,-3.381140000000001e-14,2.70492e-13,-3.63473e-13,5.09709e-12,3.1487e-12,4.87731e-12,4.99143e-12,-1.8216e-12,2.66689e-12,-3.2966199999999997e-12,-2.15548e-12,-3.47667e-11,-5.1309e-12,-3.69645e-11,-1.034e-11,-2.83277e-11,-2.01242e-11,-5.08494e-12,-8.912510000000003e-12,-1.77511e-10,-5.00516e-12,-9.6814e-11,-5.66174e-11,-1.69496e-11,1.72877e-11,6.4479599999999995e-12,1.26126e-11,3.5459800000000002e-12,-3.16877e-11,7.86963e-12,-7.68367e-12,1.47925e-13,5.8916599999999996e-12,1.12339e-11,-3.30592e-11,-8.45285e-14,-5.63131e-11,2.1808400000000002e-12,-9.27281e-12,-1.60605e-13,-4.49693e-12,-2.0286900000000003e-12,8.824810000000003e-12,5.74796e-13,-5.55354e-12,-7.35401e-12,5.2746e-12,5.58736e-12,-3.3896099999999997e-12,7.1934e-12,-7.94571e-13,-2.12167e-11,2.64153e-11,1.18171e-11,-7.59914e-12,3.1867400000000002e-12,-1.11578e-12,4.2053100000000015e-13,-2.1132e-14,-4.944939999999998e-13,8.199299999999999e-13
8,-1.6,1.03398e-25,1.55096e-25,-5.81611e-26,1.9387000000000003e-25,2.11322e-15,4.22644e-15,1.03398e-25,2.1132100000000007e-15,2.1131999999999997e-15,-2.1132100000000007e-15,-2.1131799999999998e-15,1.29247e-26,0.0,-5.16988e-26,4.22644e-15,8.45287e-15,-8.45285e-15,4.22644e-14,-8.45285e-15,-1.55096e-25,-8.45285e-15,-1.6905700000000005e-14,8.45285e-15,4.649100000000001e-13,-1.98643e-12,-8.28382e-12,4.7674300000000004e-12,2.4471099999999997e-12,8.34722e-12,-1.10775e-11,6.67779e-13,-5.071740000000001e-14,-1.26795e-14,7.53997e-12,-3.4656800000000002e-12,-3.35791e-11,1.89598e-11,-3.96292e-11,-3.29071e-11,-5.81426e-12,7.46791e-11,-1.45776e-10,-5.71943e-12,-1.87971e-10,-2.17498e-11,-1.29636e-11,-4.85998e-11,1.00901e-11,1.58861e-11,-4.1207799999999995e-13,-1.82096e-11,-6.18751e-12,-2.76409e-12,1.39472e-13,4.8688599999999995e-12,5.16471e-12,-3.76238e-11,-8.45285e-14,-7.54251e-11,-3.56712e-12,-3.4572300000000002e-12,-7.94571e-13,-5.13935e-12,-1.95938e-11,9.6701e-12,2.62039e-13,-6.9144600000000004e-12,6.424189999999998e-13,5.82404e-12,6.14524e-12,5.07173e-13,1.98812e-11,-1.98643e-12,-1.63225e-11,8.63885e-12,-2.7810000000000004e-12,-1.19186e-11,2.68802e-12,-7.22722e-13,-4.078510000000001e-13,-1.69058e-14,7.54421e-13,-3.33889e-13
9,-1.8,-4.65289e-25,0.0,5.16988e-26,1.05661e-15,2.11322e-15,2.1132100000000007e-15,5.16988e-26,2.1132100000000007e-15,-2.1132300000000002e-15,-2.1132100000000007e-15,-2.1131900000000007e-15,2.1972e-25,0.0,-1.03398e-25,4.22644e-15,8.45288e-15,-1.69058e-14,2.95851e-14,-1.26793e-14,4.2264299999999995e-15,-1.55096e-25,1.03398e-25,5.917e-14,2.28229e-13,-6.931359999999999e-13,-7.3371e-12,6.9736300000000004e-12,5.02947e-13,-4.14191e-13,2.6373e-12,-1.1960799999999999e-12,2.6203900000000003e-12,2.17239e-12,1.99065e-11,3.66855e-12,-2.99063e-11,2.88032e-12,-3.34734e-11,-1.05323e-11,-6.54174e-12,-7.47541e-11,-1.18085e-10,-6.43027e-12,-1.63831e-10,1.00707e-11,-1.05323e-11,-1.22193e-10,7.707439999999999e-12,4.12144e-12,-4.03836e-12,-6.25936e-12,-2.08786e-11,1.74975e-12,1.56378e-13,4.33633e-12,-1.29836e-11,-4.20615e-11,-8.452810000000002e-14,-8.63124e-11,-9.19674e-12,2.56968e-12,-1.51306e-12,-5.76487e-12,-2.62208e-11,1.05492e-11,-3.38124e-14,-8.165480000000001e-12,-2.09631e-12,6.20442e-12,6.762310000000001e-12,4.58146e-12,1.41163e-11,-3.34734e-12,1.56801e-11,-1.11155e-11,2.9416e-12,-1.86302e-11,-2.93315e-12,1.11155e-12,-1.3144200000000002e-12,1.6897900000000005e-14,2.15548e-12,-1.54265e-12
